代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		
SH600218	全柴动力	+6.33		6.38		+0.38		+0.47		0.26		11194600	3.04		2.70		通用设备	100↑		6.05		6.00		6.40		6.03		6.37		6.38		24.53		1.22		5300		4600		-29.54		6.17		70,162,008	17848.39	3931		2848		7185977		4008623		2352656900	2352656900	--		
SH600222	太龙药业	+4.14		4.78		+0.19		+0.00		0.20		14601795	2.72		3.10		中药		26000↑		4.75		4.59		4.97		4.66		4.78		4.79		329.9		1.84		30600		123458		-32.07		6.75		70,421,004	11303.53	6230		2344		8950579		5651216		2743176418	2570014848	--		
SH600229	城市传媒	+1.06		8.61		+0.09		+0.12		-0.03		1796777		0.418		0.55		传媒		500↑		8.66		8.52		8.67		8.54		8.60		8.61		19.00		2.52		5400		1000		+25.93		1.53		15,461,645	11939.49	1295		1387		950515		846262		6045046646	3700337609	--		
SH600237	铜峰电子	-1.45		4.76		-0.07		+0.00		-0.11		18906818	3.35		0.59		半导体及元件	5400↓		4.83		4.83		4.94		4.69		4.77		4.78		231.9		2.17		6996		78600		-59.97		5.18		91,187,049	11741.83	7766		2435		8551674		10355144	2686399153	2686399153	--		
SH600262	北方股份	-0.41		24.56		-0.10		+0.04		-0.08		819650		0.482		0.50		非汽车交运	2000↓		24.50		24.66		24.85		24.00		24.55		24.59		174.3		3.94		1300		500		-22.36		3.45		19,947,632	28660.39	696		1178		276170		543480		4175200000	4175200000	--		
SH600267	海正药业	+0.00		15.15		+0.00		-0.33		-0.04		9172410		0.950		0.86		化学制药	100↑		15.15		15.15		15.35		14.83		15.15		15.18		338.9		2.17		900		2900		-73.01		3.43		138,797,440	22045.34	6296		1457		5308208		3864202		14627807376	14627807376	--		
SH600270	外运发展	+0.21		18.97		+0.04		+0.16		0.00		2991987		0.330		0.73		物流		115↓		19.08		18.93		19.10		18.87		18.97		18.98		21.14		2.05		3529		17100		-78.31		1.22		56,758,699	12809.46	4431		675		1241456		1750531		17176988228	17176988228	--		
SH600271	航天信息	-0.76		23.38		-0.18		-0.09		-0.01		28648897	1.55		0.71		计算机应用	1500↑		23.63		23.56		24.10		23.02		23.34		23.37		27.98		4.44		11300		28100		-15.00		4.58		671,481,600	33296.06	20167		1421		11053821	17595076	43553477422	43178464560	--		
SH600276	恒瑞医药	-0.35		83.48		-0.29		-0.45		-0.06		15268734	0.542		1.15		化学制药	2200--		83.00		83.77		85.19		81.02		83.52		83.53		62.26		14.42		1900		200		+72.92		4.98		1,266,648,950	36173.43	35016		436		7367649		7901085		236469455040	235153392840	--		
SH600280	中央商场	+0.23		8.75		+0.02		-0.23		-0.07		9643373		0.840		0.91		零售		600--		8.68		8.73		8.81		8.68		8.75		8.76		63.20		5.35		7500		9100		-28.61		1.49		84,502,525	17790.01	4750		2030		5554232		4089141		10047930113	10047930113	--		
